Orden,Tipo de contenedor,Tipo de contenedor normalizado,Modelo,Carga,Lote,Dirección,Barrio,Distrito,Latitud,Longitud,X,Y,Código de localización
27908,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,1,"Calle Aurora, 33",Valdezarza,Moncloa-Aravaca,40.466163251537,-3.722734053156,438728.938,4479749.661,CT_094_076
27909,Orgánica,Organica,O 800 CT,Carga trasera,1,"Calle Aurora, 33",Valdezarza,Moncloa-Aravaca,40.466163251537,-3.722734053156,438728.938,4479749.661,CT_094_076
27910,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,1,"Calle Isla Malaita, 2",Peñagrande,Fuencarral-El Pardo,40.473443552762,-3.7219855134,438799.007,4480557.26,CS_083_084
27911,Vidrio,Vidrio,V 3100 CS,Carga superior,1,"Calle Isla Malaita, 2",Peñagrande,Fuencarral-El Pardo,40.473443552762,-3.7219855134,438799.007,4480557.26,CS_083_084
27912,Restos,Restos,R 2750 CL,Carga lateral,1,"Calle Ramón Gómez de la Serna, 9",Peñagrande,Fuencarral-El Pardo,40.481919980248,-3.723016852129,438719.29,4481498.866,CL_083_053
27913,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,1,"Calle Ramón Gómez de la Serna, 9",Peñagrande,Fuencarral-El Pardo,40.481919980248,-3.723016852129,438719.29,4481498.866,CL_083_053
27914,Orgánica,Organica,O 2750 CL,Carga lateral,1,"Calle Ramón Gómez de la Serna, 9",Peñagrande,Fuencarral-El Pardo,40.481919980248,-3.723016852129,438719.29,4481498.866,CL_083_053
27915,Restos,Restos,R 2750 CL,Carga lateral,3,"Calle Vía Lusitana, 16",Abrantes,Carabanchel,40.383875780497,-3.721410034015,438766.606,4470614.849,CL_117_071
27916,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,3,"Calle Vía Lusitana, 16",Abrantes,Carabanchel,40.383875780497,-3.721410034015,438766.606,4470614.849,CL_117_071
27917,Orgánica,Organica,O 2750 CL,Carga lateral,3,"Calle Vía Lusitana, 16",Abrantes,Carabanchel,40.383875780497,-3.721410034015,438766.606,4470614.849,CL_117_071
27918,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,1,"Calle Romero Robledo, 12",Argüelles,Moncloa-Aravaca,40.431820228242,-3.720967957021,438847.541,4475936.352,CS_092_016
27919,Vidrio,Vidrio,V 3100 CS ABATIBLE,Carga superior abatible,1,"Calle Romero Robledo, 12",Argüelles,Moncloa-Aravaca,40.431820228242,-3.720967957021,438847.541,4475936.352,CS_092_016
27920,Vidrio,Vidrio,V 3100 CS ABATIBLE,Carga superior abatible,1,"Calle Romero Robledo, 12",Argüelles,Moncloa-Aravaca,40.431820228242,-3.720967957021,438847.541,4475936.352,CS_092_016
27921,Restos,Restos,R 2750 CL,Carga lateral,3,"Calle Portalegre, 69",Opañel,Carabanchel,40.386472998714,-3.723422036358,438598.184,4470904.533,CL_112_016
27922,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,3,"Calle Portalegre, 69",Opañel,Carabanchel,40.386472998714,-3.723422036358,438598.184,4470904.533,CL_112_016
27923,Orgánica,Organica,O 2750 CL,Carga lateral,3,"Calle Portalegre, 69",Opañel,Carabanchel,40.386472998714,-3.723422036358,438598.184,4470904.533,CL_112_016
27924,Restos,Restos,R 800 CT,Carga trasera,3,"Avenida Oporto, 26",Opañel,Carabanchel,40.385344656159,-3.722564667287,438669.932,4470778.693,CT_112_024
27925,Restos,Restos,R 800 CT,Carga trasera,3,"Avenida Oporto, 26",Opañel,Carabanchel,40.385344656159,-3.722564667287,438669.932,4470778.693,CT_112_024
