Orden,Tipo de contenedor,Tipo de contenedor normalizado,Modelo,Carga,Lote,Dirección,Barrio,Distrito,Latitud,Longitud,X,Y,Código de localización
28016,Vidrio,Vidrio,V 3100 CS,Carga superior,1,"Calle Isla de Nelson, 2",Valdezarza,Moncloa-Aravaca,40.464336635286,-3.722933523792,438710.367,4479547.044,CS_094_022
28017,Papel-cartón,PapelCarton,PC 3100 CS,Carga superior,1,"Calle Isla de Tagomago, 3",Ciudad Universitaria,Moncloa-Aravaca,40.463118039339,-3.72388043446,438628.979,4479412.437,CS_093_055
28018,Vidrio,Vidrio,V 3100 CS,Carga superior,1,"Calle Isla de Tagomago, 3",Ciudad Universitaria,Moncloa-Aravaca,40.463118039339,-3.72388043446,438628.979,4479412.437,CS_093_055
28019,Restos,Restos,R 800 CT,Carga trasera,3,"Avenida Oporto, 12",Opañel,Carabanchel,40.385284188408,-3.720473754269,438847.352,4470770.533,CT_112_021
28020,Restos,Restos,R 800 CT,Carga trasera,3,"Avenida Oporto, 12",Opañel,Carabanchel,40.385284188408,-3.720473754269,438847.352,4470770.533,CT_112_021
28021,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,3,"Avenida Oporto, 12",Opañel,Carabanchel,40.385284188408,-3.720473754269,438847.352,4470770.533,CT_112_021
28022,PMB,PlasticosMetalesYBriks,E 800 CT,Carga trasera,3,"Avenida Oporto, 12",Opañel,Carabanchel,40.385284188408,-3.720473754269,438847.352,4470770.533,CT_112_021
28023,Orgánica,Organica,O 800 CT,Carga trasera,3,"Avenida Oporto, 12",Opañel,Carabanchel,40.385284188408,-3.720473754269,438847.352,4470770.533,CT_112_021
28024,Orgánica,Organica,O 800 CT,Carga trasera,3,"Avenida Oporto, 12",Opañel,Carabanchel,40.385284188408,-3.720473754269,438847.352,4470770.533,CT_112_021
28025,Restos,Restos,R 2750 CL,Carga lateral,3,"Calle Vía Lusitana, 22",Abrantes,Carabanchel,40.383623509908,-3.721933748999,438721.924,4470587.21,CL_117_068
28026,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,3,"Calle Vía Lusitana, 22",Abrantes,Carabanchel,40.383623509908,-3.721933748999,438721.924,4470587.21,CL_117_068
28027,Orgánica,Organica,O 2750 CL,Carga lateral,3,"Calle Vía Lusitana, 22",Abrantes,Carabanchel,40.383623509908,-3.721933748999,438721.924,4470587.21,CL_117_068
28028,Restos,Restos,R 2750 CL,Carga lateral,1,"Calle Angelita Camarero, 14",Peñagrande,Fuencarral-El Pardo,40.481320699983,-3.72555651695,438503.487,4481434.112,CL_083_044
28029,PMB,PlasticosMetalesYBriks,E 2750 CL,Carga lateral,1,"Calle Angelita Camarero, 14",Peñagrande,Fuencarral-El Pardo,40.481320699983,-3.72555651695,438503.487,4481434.112,CL_083_044
