Identificador,Nombre,Descripción,Teléfono,Titularidad pública,Horas de apertura,Dirección,Distrito,Código postal,Latitud,Longitud,UTM,Fecha de creación,Fecha de última actualización
2503,Punto limpio fijo Cogullada,"¿CÓMO UTILIZAREMOS EL PUNTO LIMPIO ?
Para poder utilizar el punto limpio habrá que tener en cuenta varios aspectos:
• Solo se admitirán residuos generados por particulares.
• No se podrán verter residuos peligrosos. Solo se recogerán las pilas usadas.
• El usuario si va a depositar más de un residuo lo deberá hacer por separado para poder depositarlo en su contenedor correspondiente.
• Se deberá cumplimentar el documento que nos facilitará el operario.
Una vez se haya llegado al punto limpio un operario informará en que contenedor se debe depositar los residuos. Se puede acceder tanto a pie como en el vehículo particular (que no debe exceder de 3500 kg. de tara) y cómodamente situarse junto al contenedor marcado con el nombre del residuo a verter.",615812503,true,"De lunes a sábado (incluso festivos) de 7:30 a 20:30 h.
Domingos de 8:00 a 14:30 h.","Polígono de Cogullada, con Calle Nuestra Señora de Lagunas",El Rabal,50014,41.67737429730341,-0.8566459744789225,"678514.4000017886,4616385.219997627",2008-01-10T02:00:00Z,2023-09-26T14:48:30Z
2501,Punto limpio fijo Universidad-Delicias,"¿CÓMO UTILIZAREMOS EL PUNTO LIMPIO ?
Para poder utilizar el punto limpio habrá que tener en cuenta varios aspectos:
• Solo se admitirán residuos generados por particulares.
• No se podrán verter residuos peligrosos. Solo se recogerán las pilas usadas.
• El usuario si va a depositar más de un residuo lo deberá hacer por separado para poder depositarlo en su contenedor correspondiente.
• Se deberá cumplimentar el documento que nos facilitará el operario.
Una vez se haya llegado al punto limpio un operario informará en que contenedor se debe depositar los residuos. Se puede acceder tanto a pie como en el vehículo particular (que no debe exceder de 3500 kg. de tara) y cómodamente situarse junto al contenedor marcado con el nombre del residuo a verter.",608268038,true,"De lunes a sábado (incluso festivos) de 7:30 a 20:30 h.
Domingos de 8:00 a 14:30 h.",Avenida Gómez Laguna (Cooperativa Taxi),Universidad,50005,41.633330338315105,-0.9244846982669331,"672985.270001513,4611356.579998049",2008-01-10T04:00:00Z,2026-03-16T10:57:59Z
12292,Punto limpio fijo Valdespartera,"¿CÓMO UTILIZAREMOS EL PUNTO LIMPIO ?
Para poder utilizar el punto limpio habrá que tener en cuenta varios aspectos:
• Solo se admitirán residuos generados por particulares.
• No se podrán verter residuos peligrosos. Solo se recogerán las pilas usadas.
• El usuario si va a depositar más de un residuo lo deberá hacer por separado para poder depositarlo en su contenedor correspondiente.
• Se deberá cumplimentar el documento que nos facilitará el operario.
Una vez se haya llegado al punto limpio un operario informará en que contenedor se debe depositar los residuos. Se puede acceder tanto a pie como en el vehículo particular (que no debe exceder de 3500 kg. de tara) y cómodamente situarse junto al contenedor marcado con el nombre del residuo a verter.",976953505,true,"De lunes a viernes de 12:00 a 16:00 h.
Sábados de 10:00 a 14:00 h.
Domingos y festivos cerrado.",Calle Centauros del Desierto,Casablanca,50019,41.61861517309996,-0.9297322749545184,"672587.410001494,4609712.229998077",2013-04-05T08:00:00Z,2024-01-30T11:37:07Z
2504,Punto limpio fijo Torrero,"¿CÓMO UTILIZAREMOS EL PUNTO LIMPIO ?
Para poder utilizar el punto limpio habrá que tener en cuenta varios aspectos:
• Solo se admitirán residuos generados por particulares.
• No se podrán verter residuos peligrosos. Solo se recogerán las pilas usadas.
• El usuario si va a depositar más de un residuo lo deberá hacer por separado para poder depositarlo en su contenedor correspondiente.
• Se deberá cumplimentar el documento que nos facilitará el operario.
Una vez se haya llegado al punto limpio un operario informará en que contenedor se debe depositar los residuos. Se puede acceder tanto a pie como en el vehículo particular (que no debe exceder de 3500 kg. de tara) y cómodamente situarse junto al contenedor marcado con el nombre del residuo a verter.",976389214,true,"De lunes a sábado (incluso festivos) de 7:30 a 20:30 h.
Domingos de 8:00 a 14:30 h.",Camino de Las Canteras (Cementerio),Torrero,50007,41.62091075067052,-0.891430743753382,"675772.3400016456,4610044.479997857",2008-01-10T03:00:00Z,2023-10-27T10:51:57Z
